"PWSID","SYSTEM NAME","ACTIVITY CODE","CLIENT ID","SITE ID","PRIMARY FACILITY ID","SYSTEM TYPE","OWNER TYPE","POPULATION SERVED","NONTRANSIENT POPULATION SERVED","CONSECUTIVE INDICATOR","PRIMARY SELLER","REGULATED BY","PRIMARY SOURCE","PRIMARY SELLER STATE","VENDING PWS PERM BY RULE","SERVICE CONNECTIONS","COUNTY","DISTRICT","REGION"
"6430961","BRANDY SPRINGS POOL","INACTIVE","85251","260621","276309","TRANSIENT NONCOMM","","240","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","SOUTH MEADVILLE","NORTHWEST"
"6430910","BRASS LANTERN","ACTIVE","257602","260552","276197","TRANSIENT NONCOMM","INVESTOR","150","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430938","BRIDGE WORKS BAR AND GRILL","ACTIVE","323687","269298","289923","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430049","BUHL COMMUNITY WATER COMPANY","ACTIVE","25196","249099","256026","COMMUNITY","WATER ASSOCIATION","2,227","0","NOT CONSECUTIVE","","STATE","GROUND","","","77","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430881","BUHL FARM PARK-","INACTIVE","59788","453608","481184","TRANSIENT NONCOMM","INVESTOR","500","0","NOT CONSECUTIVE","","STATE","GROUND","","","4","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431045","BURGER KING #11027","ACTIVE","64349","466390","542920","TRANSIENT NONCOMM","INVESTOR","300","20","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430321","CALVARY FELLOWSHIP","INACTIVE","58525","264764","284613","TRANSIENT NONCOMM","INVESTOR","200","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430969","CAMP NAZARETH","ACTIVE","44257","261575","278998","TRANSIENT NONCOMM","INVESTOR","200","0","NOT CONSECUTIVE","","STATE","GROUND","","","12","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431014","CAMP WILHELM","ACTIVE","342062","443726","467946","TRANSIENT NONCOMM","INVESTOR","75","0","NOT CONSECUTIVE","","STATE","GROUND","","","75","Mercer","NORTH MEADVILLE","NORTHWEST"
"6201127","CAMPBELLS CAMP PERRY","INACTIVE","360094","466772","572548","TRANSIENT NONCOMM","INVESTOR","50","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431098","CANDLEWOOD SUITES","INACTIVE","325250","813028","808781","TRANSIENT NONCOMM","INVESTOR","100",".","NOT CONSECUTIVE","","NOT REGULATED","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430318","CARPENTERS CORNERS CHURCH","INACTIVE","76504","254942","266704","TRANSIENT NONCOMM","OTHER","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431019","CATERING-2-U","INACTIVE","73532","261609","279157","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430882","CELEBRITY BOWL","ACTIVE","372598","260412","276011","TRANSIENT NONCOMM","INVESTOR","25","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430904","CHARLESTON UNITED METH CHURCH","ACTIVE","64295","260495","276120","TRANSIENT NONCOMM","OTHER","35","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431052","CHILDRENS PATCH LEARNING CTR","INACTIVE","163149","522970","547347","NONTRANSIENT NONCOMM","PRIVATE INDIVIDUAL","75","75","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431057","CHILI DOG AND SANDWICH EXPRESS","INACTIVE","142995","533865","554811","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430985","CHURCH OF GOD CAMPGROUND","INACTIVE","58575","450369","476875","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431089","CIANCI MOTEL","ACTIVE","281087","735335","731440","TRANSIENT NONCOMM","INVESTOR","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","28","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431016","CLARK BOROUGH MUNICIPAL BLDG","ACTIVE","162914","264749","284591","TRANSIENT NONCOMM","MUNICIPALITY","60","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6430873","CLARK HOUSE","ACTIVE","69666","450098","476519","TRANSIENT NONCOMM","INVESTOR","100","0","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431087","CLARK TRINITY UNITED METHODIST","ACTIVE","275678","725591","723527","TRANSIENT NONCOMM","OTHER","25",".","NOT CONSECUTIVE","","STATE","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
"6431088","CLARKS MILLS FARMERS MARKET","INACTIVE","280248","733742","730206","TRANSIENT NONCOMM","PRIVATE INDIVIDUAL","25",".","NOT CONSECUTIVE","","NOT REGULATED","GROUND","","","1","Mercer","NORTH MEADVILLE","NORTHWEST"
